Enfermedad,Descripción,Síntomas,URL
Ansiedad,"La ansiedad es una emoción normal que se intensifica en algunos individuos, causando una sensación de nerviosismo extremo y reacciones fisiológicas que interfieren con la vida diaria.","inquietud, fatiga, dificultad para concentrarse, irritabilidad, tensión muscular, problemas de sueño, sudoración excesiva, sensación de peligro inminente.",https://medlineplus.gov/spanish/anxiety.html
Depresión,"La depresión es un trastorno complejo del estado de ánimo que afecta la manera en que una persona piensa, siente y afronta actividades diarias, como dormir, comer o trabajar.","tristeza persistente, pérdida de interés o placer, cambios en el apetito (aumento o pérdida de peso), insomnio o hipersomnia, pérdida de energía, sentimientos de inutilidad o culpa, dificultad para tomar decisiones.",https://medlineplus.gov/spanish/depression.html
Trastorno de Estrés Post-traumático,"El trastorno de estrés postraumático (TEPT) se desarrolla tras experimentar o presenciar un evento traumático, afectando la capacidad de afrontarlo.","recuerdos intrusivos, pesadillas, flashbacks, evitación de lugares o personas asociadas al trauma, irritabilidad, hipervigilancia, dificultades para dormir.",https://medlineplus.gov/spanish/posttraumaticstressdisorder.html
Trastorno del Estado de Ánimo,"Los trastornos del estado de ánimo, como la depresión mayor o el trastorno bipolar, incluyen cambios intensos y prolongados en el estado emocional.","episodios de manía (euforia extrema, impulsividad), episodios de depresión, irritabilidad, fluctuaciones rápidas del estado de ánimo, pérdida de energía, pensamientos acelerados.",https://medlineplus.gov/spanish/mooddisorders.html
Trastorno de Pánico,El trastorno de pánico se caracteriza por la ocurrencia repentina y repetida de episodios de miedo intenso que alcanzan su punto máximo en minutos (ataques de pánico).,"ataques de pánico recurrentes, miedo intenso, sensación de pérdida de control, palpitaciones, sudoración, temblores, sensación de asfixia, náuseas, mareo.",https://medlineplus.gov/spanish/panicdisorder.html
Trastorno Obsesivo-compulsivo,El trastorno obsesivo-compulsivo (TOC) se caracteriza por la presencia de pensamientos persistentes y no deseados (obsesiones) que llevan a realizar conductas repetitivas (compulsiones).,"pensamientos obsesivos (miedo a la contaminación, duda constante), comportamientos repetitivos (lavado de manos, verificación), ansiedad, dificultad para controlar las compulsiones.",https://medlineplus.gov/spanish/obsessivecompulsivedisorder.html
Fobias,"Las fobias son miedos irracionales y desproporcionados a objetos, situaciones o actividades específicas que pueden limitar la vida diaria del individuo.","miedo irracional, ansiedad intensa, evitación extrema, sudoración, latidos rápidos del corazón, mareo, sensación de peligro incontrolable.",https://medlineplus.gov/spanish/phobias.html
Trastorno Bipolar,"El trastorno bipolar provoca cambios extremos en el estado de ánimo, pasando de episodios de manía (energía excesiva) a episodios de depresión.","episodios de manía (sensación de grandeza, aumento de la actividad), episodios de depresión (tristeza extrema, baja energía), pensamientos impulsivos, irritabilidad, patrones de sueño alterados.",https://medlineplus.gov/spanish/bipolardisorder.html
Trastornos Alimenticios,"Incluyen condiciones como anorexia nerviosa, bulimia nerviosa y trastorno por atracón, que afectan gravemente la relación de una persona con la comida.","preocupación extrema por el peso, rechazo a mantener un peso saludable, patrones alimentarios descontrolados (atracones, purgas), obsesión por la imagen corporal, daños físicos como desnutrición o arritmias.",https://medlineplus.gov/spanish/eatingdisorders.html
Trastorno de la Personalidad,"Los trastornos de la personalidad alteran patrones de pensamiento, comportamiento y relaciones, dificultando la adaptación a normas sociales.","comportamiento inflexible, relaciones interpersonales inestables, impulsividad, respuestas emocionales extremas, desconfianza o aislamiento social.",https://medlineplus.gov/spanish/personalitydisorders.html
Trastornos Psicóticos,"Los trastornos psicóticos son afecciones mentales graves que implican una desconexión de la realidad, generando distorsiones en el pensamiento y percepción.","alucinaciones (ver u oír cosas que no existen), delirios (creencias falsas persistentes), pensamiento desorganizado, comportamiento extraño, aislamiento social.",https://medlineplus.gov/spanish/psychoticdisorders.html
Esquizofrenia,"La esquizofrenia es un trastorno crónico y grave que afecta cómo una persona interpreta la realidad, impactando el pensamiento, la percepción y las emociones.","alucinaciones, delirios, comportamiento desorganizado, retraimiento social, falta de expresión emocional, dificultad para realizar tareas cotidianas.",https://medlineplus.gov/spanish/schizophrenia.html
Trastorno de Ansiedad Generalizada,"Se caracteriza por preocupación excesiva y persistente ante diversas situaciones, incluso cuando no hay un peligro inmediato.","preocupación excesiva, fatiga, irritabilidad, dificultad para concentrarse, tensiones musculares, insomnio, síntomas físicos como dolor de cabeza o estómago.",https://medlineplus.gov/spanish/generalizedanxietydisorder.html
Depresión Postparto,"La depresión postparto afecta a las madres después del parto, generando tristeza persistente, fatiga y dificultades para vincularse con el bebé.","falta de energía, ansiedad extrema, dificultad para cuidar al bebé, cambios en el apetito, insomnio, sentimientos de culpa, pensamientos negativos.",https://medlineplus.gov/spanish/postpartumdepression.html
